"","df_m.full_address","df.town","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"7585","189A, RIVERVALE DRIVE, SENGKANG, SINGAPORE","SENGKANG","189A, RIVERVALE DRIVE, SENGKANG, SINGAPORE",1.3862508,103.9036227,1.3857662,1.3864474,103.9032996,103.903765
"7586","189B, RIVERVALE DRIVE, SENGKANG, SINGAPORE","SENGKANG","189B, RIVERVALE DRIVE, SENGKANG, SINGAPORE",1.3862508,103.9036227,1.3857662,1.3864474,103.9032996,103.903765
"7587","700A, ANG MO KIO AVENUE 6, ANG MO KIO, SINGAPORE","ANG MO KIO","700A, ANG MO KIO AVENUE 6, ANG MO KIO, SINGAPORE",1.3698729,103.845911137312,1.3697096,1.370013,103.8458217,103.8463568
"7588","119B, KIM TIAN ROAD, BUKIT MERAH, SINGAPORE","BUKIT MERAH","119B, KIM TIAN ROAD, SINGAPORE",1.2845506,103.8294984,1.2841331,1.2846609,103.8294951,103.8295109
"7589","76, TELOK BLANGAH DRIVE, BUKIT MERAH, SINGAPORE","BUKIT MERAH","76, TELOK BLANGAH DRIVE, SINGAPORE",1.27440375,103.808753389197,1.2743316,1.2744855,103.8082782,103.8092286
"7590","466, SEGAR ROAD, BUKIT PANJANG, SINGAPORE","BUKIT PANJANG","466, SEGAR ROAD, BUKIT PANJANG, SINGAPORE",1.3863048,103.7718644,1.3863048,1.386643,103.7718644,103.7720808
"7591","470, SEGAR ROAD, BUKIT PANJANG, SINGAPORE","BUKIT PANJANG","470, SEGAR ROAD, BUKIT PANJANG, SINGAPORE",1.3863048,103.7718644,1.3863048,1.386643,103.7718644,103.7720808
"7592","273B, JURONG WEST AVENUE 3, JURONG WEST, SINGAPORE","JURONG WEST","273B, JURONG WEST AVENUE 3, JURONG WEST, SINGAPORE",1.3517303,103.703716952937,1.3514174,1.3520214,103.7033616,103.7038878
"7593","273C, JURONG WEST AVENUE 3, JURONG WEST, SINGAPORE","JURONG WEST","273C, JURONG WEST AVENUE 3, JURONG WEST, SINGAPORE",1.35195605,103.704143529216,1.3517173,1.3521983,103.703768,103.7042334
"7594","276A, JURONG WEST STREET 25, JURONG WEST, SINGAPORE","JURONG WEST","276A, JURONG WEST STREET 25, JURONG WEST, SINGAPORE",1.3540113,103.7045609,1.3539989,1.3540296,103.7043502,103.7047662
"7595","275B, JURONG WEST STREET 25, JURONG WEST, SINGAPORE","JURONG WEST","275B, JURONG WEST STREET 25, JURONG WEST, SINGAPORE",1.3540113,103.7045609,1.3539989,1.3540296,103.7043502,103.7047662
"7596","275D, JURONG WEST STREET 25, JURONG WEST, SINGAPORE","JURONG WEST","275D, JURONG WEST STREET 25, JURONG WEST, SINGAPORE",1.3540113,103.7045609,1.3539989,1.3540296,103.7043502,103.7047662
"7597","636, JURONG WEST STREET 65, JURONG WEST, SINGAPORE","JURONG WEST","636, JURONG WEST STREET 65, JURONG WEST, SINGAPORE",1.3404394,103.7009537,1.3404394,1.3405415,103.7009384,103.7009537
"7598","109C, EDGEDALE PLACEAINS, PUNGGOL, SINGAPORE","PUNGGOL","109C, EDGEDALE PLAINS, PUNGGOL, SINGAPORE",1.4015463,103.9153359,1.4008685,1.4020432,103.9148496,103.9156861
"7599","351D, CANBERRA ROAD, SEMBAWANG, SINGAPORE","SEMBAWANG","351D, CANBERRA ROAD, SEMBAWANG, SINGAPORE",1.4493003,103.8216886,1.4491541,1.4495431,103.8215805,103.8217536
"7600","352B, CANBERRA ROAD, SEMBAWANG, SINGAPORE","SEMBAWANG","352B, CANBERRA ROAD, SEMBAWANG, SINGAPORE",1.4493003,103.8216886,1.4491541,1.4495431,103.8215805,103.8217536
"7601","507A, WELLINGTON CIRCLE, SEMBAWANG, SINGAPORE","SEMBAWANG","507A, WELLINGTON CIRCLE, SEMBAWANG, SINGAPORE",1.4522063,103.8206428,1.4521765,1.4522063,103.8205692,103.8206868
"7602","507B, WELLINGTON CIRCLE, SEMBAWANG, SINGAPORE","SEMBAWANG","507B, WELLINGTON CIRCLE, SEMBAWANG, SINGAPORE",1.4522063,103.8206428,1.4521765,1.4522063,103.8205692,103.8206868
"7603","301C, ANCHORVALE DRIVE, SENGKANG, SINGAPORE","SENGKANG","301C, ANCHORVALE DRIVE, SENGKANG, SINGAPORE",1.38884405,103.890947400567,1.3884031,1.3891269,103.8908149,103.891218
"7604","290B, COMPASSVALE CRESCENT, SENGKANG, SINGAPORE","SENGKANG","290B, COMPASSVALE CRESCENT, SENGKANG, SINGAPORE",1.397024,103.8967146,1.3968483,1.3972377,103.8966389,103.8969228
"7605","296C, COMPASSVALE CRESCENT, SENGKANG, SINGAPORE","SENGKANG","296C, COMPASSVALE CRESCENT, SENGKANG, SINGAPORE",1.397024,103.8967146,1.3968483,1.3972377,103.8966389,103.8969228
